Ac	Activities
Ac_30_50	Manufacturing activities	Ac_30
Ac_30_50_27	Electronics clean activities	Ac_30_50
Ac_30_50_30	Heavy industrial activities	Ac_30_50
Ac_30_50_53	Light industrial activities	Ac_30_50
Ac_30_50_60	Packaging	Ac_30_50
Ac_30_50_61	Paint spraying	Ac_30_50
Ac_30_50_62	Pharmaceuticals clean activities	Ac_30_50
Ac_30_50_64	Printing	Ac_30_50
Ac_30_60	Cleaning and maintenance activities	Ac_30
Ac_30_60_12	Cleaning	Ac_30_60
Ac_30_60_13	Clothes drying and airing	Ac_30_60
Ac_30_60_15	Commercial laundering	Ac_30_60
Ac_30_60_23	Domestic laundering	Ac_30_60
Ac_30_60_24	Dry cleaning	Ac_30_60
Ac_30_60_42	Ironing	Ac_30_60
Ac_30_60_75	Service laundering	Ac_30_60
Ac_30_60_94	Vehicle washing	Ac_30_60
Ac_30_60_96	Washing up	Ac_30_60
Ac_30_90	Warehousing and distribution activities	Ac_30
Ac_30_90_33	Goods delivery	Ac_30_90
Ac_30_90_48	Loading	Ac_30_90
Ac_30_90_80	Sorting and distributing	Ac_30_90
Ac_30_90_96	Warehousing	Ac_30_90
Ac_32	Agricultural and natural spaces activities	Ac
Ac_32_10	Agricultural and horticultural activities	Ac_32
Ac_32_10_02	Agricultural maintenance	Ac_32_10
Ac_32_10_26	Farm yard activities	Ac_32_10
Ac_32_10_27	Fertilizing	Ac_32_10
Ac_32_10_29	Fish cultivating	Ac_32_10
Ac_32_10_34	Glasshouse growing	Ac_32_10
Ac_32_10_36	Hedge laying	Ac_32_10
Ac_32_10_38	Horticultural activities	Ac_32_10
Ac_32_10_39	Hothouse growing	Ac_32_10
Ac_32_10_42	Irrigating	Ac_32_10
Ac_32_10_47	Livestock activities	Ac_32_10
Ac_32_10_52	Milking	Ac_32_10
Ac_32_10_55	Mushroom cultivating	Ac_32_10
Ac_32_10_64	Ploughing	Ac_32_10
Ac_32_10_65	Propagating	Ac_32_10
Ac_32_10_66	Poultry rearing	Ac_32_10
Ac_32_10_77	Shearing	Ac_32_10
Ac_32_10_78	Sheep dipping	Ac_32_10
Ac_32_10_80	Sowing	Ac_32_10
Ac_32_10_94	Viticulture	Ac_32_10
